New England Patriots, 12, 4, -0.4, 374.4, 286.7, 87.8, 339.4, 240.7, 98.8, 29.1, 19.7, 0.409, 0.656, 0.917, -2, 7, 1, 5, 3, 53.8, 0.226

New York Jets, 10, 6, -1.4, 370.3, 253.6, 116.8, 318.6, 235.2, 83.4, 24.2, 19.6, 0.406, 0.660, 0.82, -1, 6, 2, 4, 4, 49.2, 0.124

Buffalo Bills, 8, 8, -0.2, 360.9, 208.9, 152.0, 356.4, 248.2, 108.1, 23.7, 22.4, 0.379, 0.500, 0.852, 2, 5, 3, 3, 5, 78.1, 0.027

Miami Dolphins, 6, 10, -0.6, 331.7, 238.2, 93.5, 376.2, 250.0, 126.2, 19.4, 24.3, 0.307, 0.5349, 0.813, 1, 3, 5, 3, 5, 68.1, -0.19

Cincinnati Bengals, 12, 4, 1.3, 358.0, 245.2, 112.8, 340.8, 248.5, 92.3, 26.2, 17.4, 0.403, 0.65, 0.821, 1, 6, 2, 6, 2, 58.6, 0.279

Pittsburgh Steelers, 10, 6, 2.2, 395.4, 287.7, 107.8, 363.1, 271.9, 91.2, 26.4, 19.9, 0.389, 0.5833, 0.833, 1, 6, 2, 4, 4, 0.594, 0.213

Baltimore Ravens, 5, 11, 1.0, 359.3, 266.9, 92.4, 337.4, 233.6, 103.8, 20.5, 25.1, 0.376, 0.4894, 0.825, -1, 3, 5, 2, 6, 72.1, -0.03

Cleveland Browns, 3, 13, 1.2, 331.9, 236.4, 95.6, 379.2, 250.8, 128.4, 17.4, 27.0, 0.419, 0.3830, 0.875, -3, 2, 6, 1, 7, 67.7, -0.23

Houston Texans, 9, 7, -0.9, 347.8, 239.6, 108.2, 310.2, 210.4, 99.8, 21.2, 19.6, 0.3855, 0.5652, 0.8519, 3, 5, 3, 4, 4, 55.2, -0.05

Indianapolis Colts, 8, 8, -1.3, 321.4, 231.5, 89.9, 379.1, 257.1, 122.0, 20.8, 25.5, 0.4000, 0.5306, 0.9259, 2, 4, 4, 4, 4, 58.2, -0.129

Jacksonville Jaguars,  5, 11, -1.7, 348.8, 256.8, 92.1, 375.0, 268.2, 106.8, 23.5, 28.0, 0.3512, 0.5370, 0.8667, -3, 4, 4, 1, 7, 55.0, -0.160

Tennessee Titans, 3, 13, -2.1, 311.8, 218.9, 92.8, 342.2, 229.9, 112.3, 18.7, 26.4, 0.318, 0.65, 0.875, -4, 1, 7, 2, 6, 48.7, -0.265

Denver Broncos, 12, 4, 1.5, 355.5, 248.1, 107.4, 283.1, 199.6, 83.6, 22.2, 18.5, 0.353, 0.4774, 0.857, 2, 6, 2, 6, 2, 66.4, 0.177

Kansas City Chiefs, 11, 5, 1.4, 331.2, 203.4, 127.8, 329.3, 231.1, 98.2, 25.3, 17.9, 0.382, 0.5789, 0.811, 10, 6, 2, 5, 3, 54.7, 0.256

Oakland Raiders, 7, 9, 1.2, 333.5, 242.4, 91.1, 363.6, 258.8, 104.9, 22.4, 24.9, 0.391, 0.6098, 0.808, -1, 3, 5, 4, 4, 68.9, 0

San Diego Chargers, 4, 12, 1.0, 371.8, 286.9, 84.9, 361.9, 236.6, 125.3, 20.0, 24.9, 0.420, 0.6364, 0.813, -2, 3, 5, 1, 7, 58.9, -0.148

Washington Redskins, 9, 7, -1.1, 353.8, 255.9, 97.9, 380.6, 258.0, 122.6, 24.2, 23.7, 0.435, 0.5849, 0.867, 4, 6, 2, 3, 5, 51.9, -0.003

Philadelphia Eagles, 7, 9, -0.7, 364.4, 255.4, 108.9, 401.6, 267.1, 134.6, 23.6, 26.9, 0.396, 0.5581, 0.808, 1, 3, 5, 4, 4, 51.2, -0.112

New York Giants, 6, 10, -1.1, 372.2, 271.7, 100.6, 420.3, 298.9, 121.4, 26.2, 27.6, 0.378, 0.4444, 0.938, -3, 3, 5, 3, 5, 48.6, -0.065

Dallas Cowboys, 4, 12, -0.1, 335.1, 216.9, 118.1, 348.1, 227.2, 120.9, 17.2, 23.4, 0.346, 0.4444, 0.938, -4, 1, 7, 3, 5, 55.1, -0.183

Minnesota Vikings, 11, 5, 1.4, 321.2, 183.0, 138.2, 344.2, 234.9, 109.2, 22.8, 18.9, 0.3819, 0.4773, 0.8718, 3, 6, 2, 5, 3, 49.6, 5.7

Green Bay Packers, 10, 6, 1.4, 334.6, 218.9, 115.6, 346.7, 227.6, 119.1, 23.0, 20.2, 0.3370, 0.5614, 0.8570, -2, 5, 3, 5, 3, 54.6, 0.102

Detroit Lions, 7, 9, 1.1, 346.7, 263.2, 83.4, 349.6, 236.6, 113.0, 22.4, 25.0, 0.3695, 0.6939, 0.9167, 3, 4, 4, 3, 5, 58.1, 0.011

Chicago Bears, 6, 10, 1.1, 344.6, 228.8, 115.9, 345.4, 224.6, 120.9, 20.9, 24.8, 0.4247, 0.4898, 0.8462, -1, 1, 7, 5, 3, 56.8, -0.057
  
Carolina Panthers, 15, 1, -2.0, 366.9, 224.3, 142.6, 322.9, 234.5, 88.4, 31.2, 19.2, 0.4236, 0.6825, 0.8333, 1, 8, 0, 7, 1, 55.4, 0.259

Atlanta Falcons, 8, 8, -2.4, 374.1, 273.7, 100.4, 347.6, 242.6, 105.0, 21.2, 21.6, 0.4714, 0.5472, 0.8065, 4, 4, 4, 4, -1, 60.6, -0.161

New Orleans Saints, 7, 9, -2.0, 403.8, 310.6, 93.2, 413.4, 284.0, 129.4, 25.5, 29.8, 0.4771, 0.6034, 0.6923, 4, 4, 3, 5, 2, 69.5, -0.187

Tampa Bay Buccaneers, 6, 10, -2.3, 375.9, 240.8, 135.1, 340.4, 240.0, 100.4, 21.4, 26.1, 0.4158, 0.5294, 0.7250, 3, 5, 3, 5, -4, 74.7, -0.093

Arizona Cardinals, 13, 3, 1.0, 408.3, 288.5, 119.8, 321.7, 230.4, 91.2, 30.6, 19.6, 0.4697, 0.6032, 0.9032, 6, 2, 7, 1, -1, 47.4, 0.274

Seattle Seahawks, 11, 6, 1.8, 378.6, 236.9, 141.8, 291.8, 210.2, 81.5, 26.4, 17.3, 0.465, 0.56, 0.935, 1, 5, 3, 5, 3, 63.1, 0.38

St. Louis Rams, 7, 9, 1.0, 297.6, 175.3, 122.2, 367.8, 254.1, 113.8, 17.5, 20.6, 0.259, 0.5278, 0.677, -1, 5, 3, 2, 6, 66.1, -0.022

San Francisco 49ers, 5, 11, 1.6, 303.8, 207.2, 96.5, 387.4, 261.2, 126.2, 14.9, 24.2, 0.305, 0.4359, 0.889, 1, 4, 4, 1, 7, 51.4, -0.274
